period,horizon,event_n,baseline_n,event_mean,baseline_mean,mean_difference,event_median,baseline_median,event_win_rate,baseline_win_rate
development,1,38,3001,-0.0027150669345464753,-0.0004842600897103283,-0.002230806844836147,-0.0020756587973242424,-0.0005878922963872268,0.42105263157894735,0.46951016327890704
development,3,38,3001,0.0018894360049127883,0.00037023498210126185,0.0015192010228115265,0.005385446979088826,0.001007232541658576,0.5789473684210527,0.5231589470176607
development,5,38,3001,0.008975455820542497,0.0011709057786935962,0.007804550041848901,0.013162052744420838,0.002257041292627271,0.6052631578947368,0.5441519493502166
development,10,38,3001,0.004538219672496895,0.0031028062660121117,0.0014354134064847837,0.00728332663632536,0.004809922904123187,0.5263157894736842,0.5571476174608464
oos,1,15,1583,0.005853382565773753,-0.0005286889335798763,0.006382071499353629,0.008019414581132756,-0.00017669845924117578,0.8,0.48641819330385344
oos,3,15,1581,0.0013164514835433793,0.0004249716165632846,0.0008914798669800947,0.014141345514720127,0.0012158754692235263,0.6,0.5338393421884883
oos,5,15,1579,0.003491122444900922,0.0014319763125987864,0.0020591461323021354,0.016024459063084473,0.0023189331539863467,0.6,0.5402153261557948
oos,10,15,1574,0.00020693574233613028,0.003890178214030004,-0.003683242471693874,0.023625563307128283,0.00509959318553832,0.7333333333333333,0.571156289707751
