population,n,mean_return,mean_forward_return_1,mean_forward_return_3,mean_forward_return_5,mean_forward_return_10
All observations,4585,0.00044601485459993715,-0.0004996027729226961,0.00038912162965352244,0.0012609124103609098,0.003373696636761874
Extreme negative events <= -3%,53,-0.040555784064290154,-0.0002900340570973539,0.0017272705743365405,0.0074232859972477114,0.003312384597923094
Non-event observations,4532,0.000925620977464906,-0.0005020541394949192,0.00037346212555367696,0.0011887662208082256,0.003374415243143664
