Date,Open,High,Low,Close,period,rolling_volatility,volatility_regime,ma_20,ma_50,trend_ma,trend_regime,trend_volatility_regime
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,development,,,,,,,
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,development,,,,,,,
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,development,,,,,,,
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,development,,,,,,,
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,development,,,,,,,
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,development,,,,,,,
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,development,,,,,,,
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,development,,,,,,,
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,development,,,,,,,
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,development,,,,,,,
2007-10-01,5021.5,5089.2998046875,5001.35009765625,5068.9501953125,development,,,,,,,
2007-10-03,5069.0,5261.35009765625,5034.14990234375,5210.7998046875,development,,,,,,,
2007-10-04,5211.64990234375,5233.10009765625,5126.0498046875,5208.64990234375,development,,,,,,,
2007-10-05,5208.14990234375,5248.5498046875,5164.5,5185.85009765625,development,,,,,,,
2007-10-08,5186.25,5249.2998046875,5024.75,5085.10009765625,development,,,,,,,
2007-10-09,5062.64990234375,5348.7001953125,5000.9501953125,5327.25,development,,,,,,,
2007-10-10,5328.14990234375,5454.7001953125,5328.14990234375,5441.4501953125,development,,,,,,,
2007-10-11,5438.89990234375,5532.75,5424.25,5524.85009765625,development,,,,,,,
2007-10-12,5525.2998046875,5549.2998046875,5402.60009765625,5428.25,development,,,,,,,
2007-10-15,5428.35009765625,5682.64990234375,5419.89990234375,5670.39990234375,development,,,5067.165014648437,,5067.165014648437,uptrend,
2007-10-16,5670.64990234375,5708.35009765625,5578.4501953125,5668.0498046875,development,0.29268903875261215,,5125.835009765625,,5125.835009765625,uptrend,
2007-10-17,5658.89990234375,5658.89990234375,5107.2998046875,5559.2998046875,development,0.3127247267355698,,5176.489990234375,,5176.489990234375,uptrend,
2007-10-18,5551.10009765625,5736.7998046875,5269.64990234375,5351.0,development,0.3339300378296136,,5207.4224853515625,,5207.4224853515625,uptrend,
2007-10-19,5360.35009765625,5390.85009765625,5101.75,5215.2998046875,development,0.35240498575071943,,5230.809985351562,,5230.809985351562,downtrend,
2007-10-22,5202.75,5247.39990234375,5070.89990234375,5184.0,development,0.35037050516592966,,5248.132495117187,,5248.132495117187,downtrend,
2007-10-23,5185.2998046875,5488.5,5176.85009765625,5473.7001953125,development,0.3932796435948655,,5275.207495117187,,5275.207495117187,uptrend,
2007-10-24,5477.60009765625,5577.89990234375,5419.39990234375,5496.14990234375,development,0.3930145545140021,,5303.072485351562,,5303.072485351562,uptrend,
2007-10-25,5499.0498046875,5605.9501953125,5469.2998046875,5568.9501953125,development,0.39337138573285846,,5334.4949951171875,,5334.4949951171875,uptrend,
2007-10-26,5564.25,5716.89990234375,5513.35009765625,5702.2998046875,development,0.39790179703833684,,5369.582495117187,,5369.582495117187,uptrend,
2007-10-29,5708.89990234375,5922.5,5708.89990234375,5905.89990234375,development,0.41059149491247887,,5413.809985351562,,5413.809985351562,uptrend,
2007-10-30,5917.5498046875,5976.0,5833.89990234375,5868.75,development,0.4138748895930544,,5453.799975585937,,5453.799975585937,uptrend,
2007-10-31,5868.89990234375,5952.25,5861.2998046875,5900.64990234375,development,0.40687750829209174,,5488.29248046875,,5488.29248046875,uptrend,
2007-11-01,5903.7998046875,6011.9501953125,5837.2001953125,5866.4501953125,development,0.4085436275270475,,5521.1824951171875,,5521.1824951171875,uptrend,
2007-11-02,5854.85009765625,5944.75,5714.25,5932.39990234375,development,0.40690082875902267,,5558.509985351562,,5558.509985351562,uptrend,
2007-11-05,5931.89990234375,5948.5498046875,5819.60009765625,5847.2998046875,development,0.4028932579189324,,5596.619970703125,,5596.619970703125,uptrend,
2007-11-06,5847.10009765625,5957.2001953125,5759.9501953125,5786.5,development,0.37775558849961094,,5619.582470703125,,5619.582470703125,uptrend,
2007-11-07,5782.39990234375,5861.35009765625,5744.2998046875,5782.35009765625,development,0.37266181405561905,,5636.627465820313,,5636.627465820313,uptrend,
2007-11-08,5779.2998046875,5780.7998046875,5646.75,5698.75,development,0.3749050118323201,,5645.3224609375,,5645.3224609375,uptrend,
2007-11-12,5660.60009765625,5660.60009765625,5477.5,5617.10009765625,development,0.3729119984570163,,5654.764965820313,,5654.764965820313,downtrend,
2007-11-13,5612.35009765625,5758.85009765625,5591.60009765625,5695.39990234375,development,0.34091964136143743,,5656.014965820313,,5656.014965820313,uptrend,
2007-11-14,5703.9501953125,5950.2001953125,5700.0498046875,5937.89990234375,development,0.3722162390034252,,5669.507470703125,,5669.507470703125,uptrend,
2007-11-15,5942.7001953125,5966.9501953125,5895.64990234375,5912.10009765625,development,0.36434674748608037,,5687.147485351563,,5687.147485351563,uptrend,
2007-11-16,5913.14990234375,5948.0498046875,5817.39990234375,5906.85009765625,development,0.3316950881124321,,5714.939990234375,,5714.939990234375,uptrend,
2007-11-19,5908.0498046875,5981.7998046875,5893.7998046875,5907.64990234375,development,0.31236686716112555,,5749.5574951171875,,5749.5574951171875,uptrend,
2007-11-20,5911.25,5923.7001953125,5755.7998046875,5780.89990234375,development,0.32508326280977035,,5779.402490234375,,5779.402490234375,uptrend,
2007-11-21,5778.7998046875,5790.0498046875,5530.85009765625,5561.0498046875,development,0.30280605330657134,,5783.769970703125,,5783.769970703125,downtrend,
2007-11-22,5564.64990234375,5608.64990234375,5394.35009765625,5519.35009765625,development,0.3040090697395114,,5784.92998046875,,5784.92998046875,downtrend,
2007-11-23,5524.2998046875,5638.60009765625,5514.75,5608.60009765625,development,0.3058220554949615,,5786.9124755859375,,5786.9124755859375,downtrend,
2007-11-26,5611.2998046875,5772.5498046875,5608.9501953125,5731.7001953125,development,0.30387029478496247,,5788.382495117187,,5788.382495117187,downtrend,
2007-11-27,5729.25,5743.5498046875,5655.60009765625,5698.14990234375,development,0.2742483658296848,,5777.9949951171875,5440.5569921875,5777.9949951171875,downtrend,
2007-11-28,5699.5498046875,5749.9501953125,5595.5,5617.5498046875,development,0.27741097934187514,,5765.434985351562,5463.014990234375,5765.434985351562,downtrend,
2007-11-29,5617.7998046875,5725.0,5612.10009765625,5634.60009765625,development,0.2766829138672576,,5752.132495117187,5484.78298828125,5752.132495117187,downtrend,
2007-11-30,5633.89990234375,5782.5498046875,5632.64990234375,5762.75,development,0.28993756639100215,,5746.947485351562,5505.390986328125,5746.947485351562,uptrend,
2007-12-03,5765.4501953125,5878.7998046875,5754.60009765625,5865.0,development,0.2943834529527993,,5743.577490234375,5527.739990234375,5743.577490234375,uptrend,
2007-12-04,5870.2001953125,5897.25,5840.2998046875,5858.35009765625,development,0.2897874468238534,,5744.1300048828125,5548.15599609375,5744.1300048828125,uptrend,
2007-12-05,5861.89990234375,5949.2998046875,5859.9501953125,5940.0,development,0.29079827370959366,,5751.805004882813,5568.3119921875,5751.805004882813,uptrend,
2007-12-06,5941.0498046875,6027.0498046875,5919.7998046875,5954.7001953125,development,0.29070072381190754,,5760.422509765625,5588.628994140625,5760.422509765625,uptrend,
2007-12-07,5963.60009765625,6042.10009765625,5894.7998046875,5974.2998046875,development,0.2844337304102729,,5774.2,5609.304990234375,5774.2,uptrend,
2007-12-10,5974.0,6015.2998046875,5923.35009765625,5960.60009765625,development,0.2781193122011057,,5791.375,5628.50599609375,5791.375,uptrend,
2007-12-11,5960.39990234375,6111.2001953125,5960.39990234375,6097.25,development,0.28451241452590664,,5811.467504882812,5650.023994140625,5811.467504882812,uptrend,
2007-12-12,6067.0498046875,6175.64990234375,6005.4501953125,6159.2998046875,development,0.2462634709697867,,5822.5375,5671.830986328125,5822.5375,uptrend,
2007-12-13,6159.25,6185.39990234375,6040.39990234375,6058.10009765625,development,0.25397461681263606,,5829.8375,5688.7769921875,5829.8375,uptrend,
2007-12-14,6056.2001953125,6078.5498046875,6015.0498046875,6047.7001953125,development,0.2540881616238207,,5836.8800048828125,5705.557998046875,5836.8800048828125,uptrend,
2007-12-17,6037.9501953125,6039.9501953125,5740.60009765625,5777.0,development,0.30223622957604834,,5830.347509765625,5717.38099609375,5830.347509765625,downtrend,
2007-12-18,5777.60009765625,5874.60009765625,5710.60009765625,5742.2998046875,development,0.29316935136316147,,5828.417504882813,5730.524990234375,5828.417504882813,downtrend,
2007-12-19,5730.25,5840.7998046875,5676.7001953125,5751.14990234375,development,0.25678446776282327,,5837.922509765625,5739.00298828125,5837.922509765625,downtrend,
2007-12-20,5751.75,5799.5,5742.75,5766.5,development,0.25442276189468194,,5850.280004882812,5745.503984375,5850.280004882812,downtrend,
2007-12-24,5771.2998046875,6001.0498046875,5771.2998046875,5985.10009765625,development,0.28048905261255336,,5869.105004882813,5754.708984375,5869.105004882813,uptrend,
2007-12-26,5988.4501953125,6085.25,5988.4501953125,6070.75,development,0.2750485299700188,,5886.0574951171875,5767.558984375,5886.0574951171875,uptrend,
2007-12-27,6069.0,6110.85009765625,6060.2001953125,6081.5,development,0.2731105092357984,,5905.225,5775.780986328125,5905.225,uptrend,
2007-12-28,6079.5498046875,6098.60009765625,6021.89990234375,6079.7001953125,development,0.26563101318789406,,5928.33251953125,5784.013994140625,5928.33251953125,uptrend,
2007-12-31,6095.0,6167.75,6095.0,6138.60009765625,development,0.2663279167684655,,5953.53251953125,5795.6,5953.53251953125,uptrend,
2008-01-01,6136.75,6165.35009765625,6109.85009765625,6144.35009765625,development,0.25754070566297366,,5972.612524414062,5811.467001953125,5972.612524414062,uptrend,
2008-01-02,6144.7001953125,6197.0,6060.85009765625,6179.39990234375,development,0.2520966815258895,,5988.33251953125,5830.74900390625,5988.33251953125,uptrend,
2008-01-03,6184.25,6230.14990234375,6126.39990234375,6178.5498046875,development,0.25191864575883166,,6004.342504882812,5850.64,6004.342504882812,uptrend,
2008-01-04,6179.10009765625,6300.0498046875,6179.10009765625,6274.2998046875,development,0.25289348041645604,,6021.0574951171875,5866.6519921875,6021.0574951171875,uptrend,
2008-01-07,6271.0,6289.7998046875,6193.35009765625,6279.10009765625,development,0.2530010589754793,,6037.277490234375,5882.31099609375,6037.277490234375,uptrend,
2008-01-08,6282.4501953125,6357.10009765625,6221.60009765625,6287.85009765625,development,0.25303958785760305,,6052.955004882812,5896.688994140625,6052.955004882812,uptrend,
2008-01-09,6287.5498046875,6338.2998046875,6231.25,6272.0,development,0.25310023736754456,,6068.525,5908.082998046875,6068.525,uptrend,
2008-01-10,6278.10009765625,6347.0,6142.89990234375,6156.9501953125,development,0.251686556959868,,6071.510009765625,5913.10400390625,6071.510009765625,uptrend,
2008-01-11,6166.64990234375,6224.2001953125,6112.5498046875,6200.10009765625,development,0.25033650123749773,,6073.550024414062,5919.731005859375,6073.550024414062,uptrend,
2008-01-14,6208.7998046875,6244.14990234375,6172.0,6206.7998046875,development,0.24226313054905466,,6080.985009765625,5925.85400390625,6080.985009765625,uptrend,
2008-01-15,6226.35009765625,6260.4501953125,6053.2998046875,6074.25,development,0.25521642093458297,,6082.3125,5930.01,6082.3125,downtrend,
2008-01-16,6065.0,6065.0,5825.75,5935.75,development,0.21198648645547644,,6090.25,5930.077001953125,6090.25,downtrend,
