return_bucket,n,mean_return,mean_forward_return_1,median_forward_return_1,win_rate_1,mean_forward_return_3,median_forward_return_3,win_rate_3,mean_forward_return_5,median_forward_return_5,win_rate_5,mean_forward_return_10,median_forward_return_10,win_rate_10
return <= -3%,79,-0.04480289101829004,-0.0004977753957751354,0.00018821207571040333,0.5063291139240507,0.0017711228744909948,0.006782467466005526,0.5569620253164557,0.004228242110747821,0.013597009363615076,0.569620253164557,0.0029779657785918338,0.015439551096752213,0.5822784810126582
-3% < return <= -2%,120,-0.02374021658300193,-0.0003181093527213491,-0.0008723671424003543,0.475,0.0007637359354222023,0.003913656919214192,0.5416666666666666,-0.0001926503592198749,-0.0007347701197683021,0.49166666666666664,0.005324912338480425,0.009747848101698486,0.5333333333333333
-2% < return <= -1%,445,-0.013864216087247024,-0.0001910757134388753,-1.7201686761947332e-05,0.49774774774774777,0.0020898203493838505,0.003170873879807301,0.5540540540540541,0.004514184590421718,0.004850151395043745,0.5698198198198198,0.004580195569961877,0.004035998608537206,0.5608108108108109
-1% < return <= 0%,1510,-0.004085038483688702,-0.0009036918778780924,-0.0006004325523692455,0.46556291390728477,-0.00025968092780500744,5.947857240684584e-05,0.5013262599469496,0.0005062904392736712,0.0017060174040675058,0.5338196286472149,0.0024177615956615496,0.004183227792533772,0.5508305647840531
return > 0%,2430,0.0085476422811054,-0.0003188734070203134,-0.0004479931348077004,0.47613168724279836,0.0003945311910684544,0.0012353182903754867,0.5358024691358024,0.0010703453165343795,0.0022541017234574134,0.5448929159802306,0.0036109493532924955,0.005467459084484538,0.5696619950535862
