Date,Open,High,Low,Close,event_return,entry_date_1,entry_price_1,forward_return_1,entry_date_3,entry_price_3,forward_return_3,entry_date_5,entry_price_5,forward_return_5,entry_date_10,entry_price_10,forward_return_10,period,trend_regime,volatility_regime,trend_volatility_regime
2008-07-15,4039.300048828125,4040.699951171875,3835.5,3861.10009765625,-0.04421116807544456,2008-07-16,3861.550048828125,-0.011614532270496136,2008-07-16,3861.550048828125,0.059742835973830344,2008-07-16,3861.550048828125,0.09803059497908229,2008-07-16,3861.550048828125,0.0850176858196503,development,downtrend,,
2008-07-29,4332.2001953125,4332.2001953125,4159.14990234375,4189.85009765625,-0.032836268043981764,2008-07-30,4191.2001953125,0.029192022254588945,2008-07-30,4191.2001953125,0.05305153631737247,2008-07-30,4191.2001953125,0.07435815227635834,2008-07-30,4191.2001953125,0.0861447289230668,development,uptrend,,
2008-09-15,4231.9501953125,4237.25,3955.39990234375,4072.89990234375,-0.03678659692886699,2008-09-16,4072.550048828125,0.0005769980693794974,2008-09-16,4072.550048828125,-0.008446832100755586,2008-09-16,4072.550048828125,0.03695467312984424,2008-09-16,4072.550048828125,-0.054634073819184725,development,downtrend,,
2008-09-26,4108.75,4110.7001953125,3970.35009765625,3985.25,-0.030482492766445324,2008-09-29,3990.199951171875,-0.03512352865990831,2008-09-29,3990.199951171875,-0.009886710354023442,2008-09-29,3990.199951171875,-0.09720060605026026,2008-09-29,3990.199951171875,-0.11817704741579083,development,downtrend,medium,downtrend_medium
2008-10-10,3502.050048828125,3502.050048828125,3198.949951171875,3279.949951171875,-0.06651201959990027,2008-10-13,3272.89990234375,0.06654650472877477,2008-10-13,3272.89990234375,0.020012833253193918,2008-10-13,3272.89990234375,-0.06066479593381913,2008-10-13,3272.89990234375,-0.21048608967552696,development,downtrend,high,downtrend_high
2008-10-22,3234.699951171875,3235.75,3051.800048828125,3065.14990234375,-0.05247457575951975,2008-10-23,3064.800048828125,-0.03969268616100741,2008-10-23,3064.800048828125,-0.1763900055610339,2008-10-23,3064.800048828125,-0.05847035640722953,2008-10-23,3064.800048828125,-0.02995303033332508,development,downtrend,high,downtrend_high
2008-11-05,3155.75,3240.550048828125,2971.0,2994.949951171875,-0.046831781900944836,2008-11-06,2998.449951171875,-0.03528491405593592,2008-11-06,2998.449951171875,0.04995916265655165,2008-11-06,2998.449951171875,-0.05002584750209882,2008-11-06,2998.449951171875,-0.1485100822356864,development,downtrend,high,downtrend_high
2008-11-18,2802.449951171875,2802.449951171875,2664.300048828125,2683.14990234375,-0.04157816236687728,2008-11-19,2682.75,-0.01779890038207066,2008-11-19,2682.75,0.003988426492172126,2008-11-19,2682.75,-0.01071661541328861,2008-11-19,2682.75,-0.009803391604929601,development,downtrend,high,downtrend_high
2009-01-07,3112.800048828125,3147.199951171875,2888.199951171875,2920.39990234375,-0.061809349610106756,2009-01-09,2919.949951171875,-0.01607902599598754,2009-01-09,2919.949951171875,-0.059932534093526724,2009-01-09,2919.949951171875,-0.06275792498650723,2009-01-09,2919.949951171875,-0.07060049171768001,development,downtrend,medium,downtrend_medium
2009-01-21,2777.39990234375,2787.300048828125,2690.199951171875,2706.14990234375,-0.03234291359293873,2009-01-22,2714.699951171875,-0.00033149237850815805,2009-01-22,2714.699951171875,0.020867921871041473,2009-01-22,2714.699951171875,0.04024385824033305,2009-01-22,2714.699951171875,0.024072677950297994,development,downtrend,medium,downtrend_medium
