period,horizon,event_n,baseline_n,observed_difference,bootstrap_se,ci_lower,ci_upper,p_value
development,1,38.0,3001.0,-0.002230806844836147,0.004444861573177227,-0.011032333911218373,0.006465028494109789,0.6615
development,3,38.0,3001.0,0.0015192010228115265,0.007748690944751637,-0.014717955023943524,0.015984910367046676,0.8537
development,5,38.0,3001.0,0.007804550041848901,0.007994500055742001,-0.008118154082876696,0.02367505709903092,0.519
development,10,38.0,3001.0,0.0014354134064847837,0.012469788404797412,-0.02372223407731754,0.025475649253301147,0.9102
oos,1,15.0,1583.0,0.006382071499353629,0.0037182579316318485,-0.001150224996087708,0.01338943140754884,0.5238
oos,3,15.0,1581.0,0.0008914798669800947,0.008057790334902499,-0.015165778073235013,0.01603772658995372,0.9103
oos,5,15.0,1579.0,0.0020591461323021354,0.01148879329452337,-0.02282001953342884,0.022207800003060874,0.8696
oos,10,15.0,1574.0,-0.003683242471693874,0.024799285854554626,-0.05668244996083781,0.0394570812289271,0.8835
